anio,delito,cantidad
2000,Delito 01,2653.0
2001,Delito 01,3053.0
2002,Delito 01,3459.0
2003,Delito 01,2883.0
2004,Delito 01,2264.0
2005,Delito 01,2120.0
2006,Delito 01,2057.0
2007,Delito 01,2071.0
2008,Delito 01,2305.0
2009,Delito 01,2616.0
2010,Delito 01,2345.0
2011,Delito 01,2471.0
2012,Delito 01,2628.0
2013,Delito 01,3125.0
2014,Delito 01,3202.0
2015,Delito 01,2761.0
2016,Delito 01,2607.0
2017,Delito 01,2224.0
2018,Delito 01,2282.0
2019,Delito 01,2239.0
2020,Delito 01,2350.0
2021,Delito 01,2021.0
2022,Delito 01,1888.0
2023,Delito 01,1996.0
2024,Delito 01,1734.0
2000,Delito 02,884.0
2001,Delito 02,888.0
2002,Delito 02,862.0
2003,Delito 02,928.0
2004,Delito 02,876.0
2005,Delito 02,916.0
2006,Delito 02,836.0
2007,Delito 02,780.0
2008,Delito 02,993.0
2009,Delito 02,1232.0
2010,Delito 02,1201.0
2011,Delito 02,1407.0
2012,Delito 02,1496.0
2013,Delito 02,1590.0
2014,Delito 02,1776.0
2015,Delito 02,1597.0
2016,Delito 02,1659.0
2017,Delito 02,1588.0
2018,Delito 02,1512.0
2019,Delito 02,1582.0
2020,Delito 02,1548.0
2021,Delito 02,1478.0
2022,Delito 02,1309.0
2023,Delito 02,1488.0
2024,Delito 02,1406.0
2000,Delito 03,3686.0
2001,Delito 03,3797.0
2002,Delito 03,3178.0
2003,Delito 03,3125.0
2004,Delito 03,3506.0
2005,Delito 03,3443.0
2006,Delito 03,3695.0
2007,Delito 03,3786.0
2008,Delito 03,3997.0
2009,Delito 03,3483.0
2010,Delito 03,3571.0
2011,Delito 03,3793.0
2012,Delito 03,3502.0
2013,Delito 03,3957.0
2014,Delito 03,3627.0
2015,Delito 03,3641.0
2016,Delito 03,3919.0
2017,Delito 03,4193.0
2018,Delito 03,4294.0
2019,Delito 03,3671.0
2020,Delito 03,2746.0
2021,Delito 03,3444.0
2022,Delito 03,3781.0
2023,Delito 03,3568.0
2024,Delito 03,3205.0
2000,Delito 04,1058.0
2001,Delito 04,625.0
2002,Delito 04,589.0
2003,Delito 04,665.0
2004,Delito 04,716.0
2005,Delito 04,895.0
2006,Delito 04,743.0
2007,Delito 04,681.0
2008,Delito 04,617.0
2009,Delito 04,937.0
2010,Delito 04,706.0
2011,Delito 04,938.0
2012,Delito 04,1111.0
2013,Delito 04,920.0
2014,Delito 04,1496.0
2015,Delito 04,967.0
2016,Delito 04,582.0
2017,Delito 04,593.0
2018,Delito 04,536.0
2019,Delito 04,435.0
2020,Delito 04,491.0
2021,Delito 04,501.0
2022,Delito 04,567.0
2023,Delito 04,628.0
2024,Delito 04,553.0
2000,Delito 05,107864.0
2001,Delito 05,117745.0
2002,Delito 05,125267.0
2003,Delito 05,131360.0
2004,Delito 05,142257.0
2005,Delito 05,142135.0
2006,Delito 05,143482.0
2007,Delito 05,139142.0
2008,Delito 05,146338.0
2009,Delito 05,151408.0
2010,Delito 05,148376.0
2011,Delito 05,165148.0
2012,Delito 05,165530.0
2013,Delito 05,161403.0
2014,Delito 05,170921.0
2015,Delito 05,171324.0
2016,Delito 05,141311.0
2017,Delito 05,142111.0
2018,Delito 05,136843.0
2019,Delito 05,145145.0
2020,Delito 05,136122.0
2021,Delito 05,156802.0
2022,Delito 05,167994.0
2023,Delito 05,168619.0
2024,Delito 05,169511.0
2000,Delito 06,54429.0
2001,Delito 06,58530.0
2002,Delito 06,53527.0
2003,Delito 06,56678.0
2004,Delito 06,64717.0
2005,Delito 06,73066.0
2006,Delito 06,83888.0
2007,Delito 06,97056.0
2008,Delito 06,105615.0
2009,Delito 06,99233.0
2010,Delito 06,95876.0
2011,Delito 06,95111.0
2012,Delito 06,89736.0
2013,Delito 06,85777.0
2014,Delito 06,79478.0
2015,Delito 06,84033.0
2016,Delito 06,94016.0
2017,Delito 06,97709.0
2018,Delito 06,95082.0
2019,Delito 06,92935.0
2020,Delito 06,62335.0
2021,Delito 06,80272.0
2022,Delito 06,89877.0
2023,Delito 06,89058.0
2024,Delito 06,89424.0
2000,Delito 07,11024.0
2001,Delito 07,8907.0
2002,Delito 07,7181.0
2003,Delito 07,7356.0
2004,Delito 07,8620.0
2005,Delito 07,9532.0
2006,Delito 07,11483.0
2007,Delito 07,10355.0
2008,Delito 07,9801.0
2009,Delito 07,17621.0
2010,Delito 07,19499.0
2011,Delito 07,24185.0
2012,Delito 07,26360.0
2013,Delito 07,28235.0
2014,Delito 07,27475.0
2015,Delito 07,24807.0
2016,Delito 07,15483.0
2017,Delito 07,17861.0
2018,Delito 07,17463.0
2019,Delito 07,15766.0
2020,Delito 07,10396.0
2021,Delito 07,13532.0
2022,Delito 07,13947.0
2023,Delito 07,15211.0
2024,Delito 07,13471.0
2000,Delito 08,21232.0
2001,Delito 08,17979.0
2002,Delito 08,16947.0
2003,Delito 08,16509.0
2004,Delito 08,16708.0
2005,Delito 08,15832.0
2006,Delito 08,17544.0
2007,Delito 08,22601.0
2008,Delito 08,29335.0
2009,Delito 08,29097.0
2010,Delito 08,30098.0
2011,Delito 08,32740.0
2012,Delito 08,35970.0
2013,Delito 08,40909.0
2014,Delito 08,49548.0
2015,Delito 08,44803.0
2016,Delito 08,54877.0
2017,Delito 08,52759.0
2018,Delito 08,59316.0
2019,Delito 08,53582.0
2020,Delito 08,50044.0
2021,Delito 08,46549.0
2022,Delito 08,42226.0
2023,Delito 08,46049.0
2024,Delito 08,48581.0
2000,Delito 09,372.0
2001,Delito 09,379.0
2002,Delito 09,295.0
2003,Delito 09,328.0
2004,Delito 09,381.0
2005,Delito 09,316.0
2006,Delito 09,358.0
2007,Delito 09,640.0
2008,Delito 09,247.0
2009,Delito 09,340.0
2010,Delito 09,236.0
2011,Delito 09,312.0
2012,Delito 09,442.0
2013,Delito 09,602.0
2014,Delito 09,846.0
2015,Delito 09,413.0
2016,Delito 09,466.0
2017,Delito 09,449.0
2018,Delito 09,534.0
2019,Delito 09,699.0
2020,Delito 09,768.0
2021,Delito 09,791.0
2022,Delito 09,645.0
2023,Delito 09,763.0
2024,Delito 09,843.0
2000,Delito 10,3023.0
2001,Delito 10,3289.0
2002,Delito 10,3037.0
2003,Delito 10,3451.0
2004,Delito 10,3452.0
2005,Delito 10,3156.0
2006,Delito 10,3272.0
2007,Delito 10,3281.0
2008,Delito 10,3368.0
2009,Delito 10,4386.0
2010,Delito 10,4278.0
2011,Delito 10,4224.0
2012,Delito 10,4314.0
2013,Delito 10,4279.0
2014,Delito 10,3748.0
2015,Delito 10,3418.0
2016,Delito 10,3677.0
2017,Delito 10,3755.0
2018,Delito 10,4204.0
2019,Delito 10,5544.0
2020,Delito 10,5710.0
2021,Delito 10,6919.0
2022,Delito 10,7063.0
2023,Delito 10,6387.0
2024,Delito 10,6196.0
2000,Delito 11,5911.0
2001,Delito 11,5803.0
2002,Delito 11,5773.0
2003,Delito 11,6484.0
2004,Delito 11,6921.0
2005,Delito 11,6852.0
