anio,delito,cantidad
2000,Abusos sexuales con acceso carnal (violaciones),3023
2000,Amenazas,92826
2000,Contravenciones,130384
2000,Delitos contra el estado civil,178
2000,Delitos contra el honor,372
2000,Delitos contra el orden público,1558
2000,Delitos contra la administración pública,10110
2000,Delitos contra la fe pública,5868
2000,Delitos contra la seguridad de la nación,34
2000,Delitos contra la seguridad pública,5147
2000,Delitos contra los poderes públicos y el orden constitucional,85
2000,Homicidios culposos por otros hechos,1058
2000,Homicidios dolosos,2653
2000,Homicidios dolosos en grado de tentativa,884
2000,Hurtos,293888
2000,Lesiones culposas en Accidentes Viales,54429
2000,Lesiones culposas por otros hechos,11024
2000,Lesiones dolosas,107864
2000,Ley 23.737 (estupefacientes),15994
2000,Muertes en accidentes viales,3686
2000,Otros delitos contra la integridad sexual,5911
2000,Otros delitos contra la libertad,15628
2000,Otros delitos contra la propiedad,89175
2000,Otros delitos contra las personas,21232
2000,Otros delitos previstos en leyes especiales,16195
2000,Robos (excluye los agravados por el resultado de lesiones y/o muertes),320649
2000,Robos agravados por el resultado de lesiones y/o muertes ,14819
2000,Suicidios (consumados),3129
2000,Tentativas de hurto,11432
2000,Tentativas de robo (excluye las agravadas por el res. de lesiones y/o muerte),21223
2000,Tentativas de robo agravado por el resultado de lesiones y/o muertes,2541
2001,Abusos sexuales con acceso carnal (violaciones),3289
2001,Amenazas,108340
2001,Contravenciones,202813
2001,Delitos contra el estado civil,99
2001,Delitos contra el honor,379
2001,Delitos contra el orden público,4734
2001,Delitos contra la administración pública,11662
2001,Delitos contra la fe pública,5387
2001,Delitos contra la seguridad de la nación,34
2001,Delitos contra la seguridad pública,5736
2001,Delitos contra los poderes públicos y el orden constitucional,110
2001,Homicidios culposos por otros hechos,625
2001,Homicidios dolosos,3053
2001,Homicidios dolosos en grado de tentativa,888
2001,Hurtos,304122
2001,Lesiones culposas en Accidentes Viales,58530
2001,Lesiones culposas por otros hechos,8907
2001,Lesiones dolosas,117745
2001,Ley 23.737 (estupefacientes),15364
2001,Muertes en accidentes viales,3797
2001,Otros delitos contra la integridad sexual,5803
2001,Otros delitos contra la libertad,13729
2001,Otros delitos contra la propiedad,84334
2001,Otros delitos contra las personas,17979
2001,Otros delitos previstos en leyes especiales,17956
2001,Robos (excluye los agravados por el resultado de lesiones y/o muertes),345725
2001,Robos agravados por el resultado de lesiones y/o muertes ,16029
2001,Suicidios (consumados),3167
2001,Tentativas de hurto,10594
2001,Tentativas de robo (excluye las agravadas por el res. de lesiones y/o muerte),19898
2001,Tentativas de robo agravado por el resultado de lesiones y/o muertes,2082
2002,Abusos sexuales con acceso carnal (violaciones),3037
2002,Amenazas,114247
2002,Contravenciones,118238
2002,Delitos contra el estado civil,219
2002,Delitos contra el honor,295
2002,Delitos contra el orden público,1241
2002,Delitos contra la administración pública,12330
2002,Delitos contra la fe pública,5495
2002,Delitos contra la seguridad de la nación,59
2002,Delitos contra la seguridad pública,5199
2002,Delitos contra los poderes públicos y el orden constitucional,159
2002,Homicidios culposos por otros hechos,589
2002,Homicidios dolosos,3459
2002,Homicidios dolosos en grado de tentativa,862
2002,Hurtos,372905
2002,Lesiones culposas en Accidentes Viales,53527
2002,Lesiones culposas por otros hechos,7181
2002,Lesiones dolosas,125267
2002,Ley 23.737 (estupefacientes),15508
2002,Muertes en accidentes viales,3178
2002,Otros delitos contra la integridad sexual,5773
2002,Otros delitos contra la libertad,13921
2002,Otros delitos contra la propiedad,80247
2002,Otros delitos contra las personas,16947
2002,Otros delitos previstos en leyes especiales,23139
2002,Robos (excluye los agravados por el resultado de lesiones y/o muertes),423478
2002,Robos agravados por el resultado de lesiones y/o muertes ,17906
2002,Suicidios (consumados),2966
2002,Tentativas de hurto,13813
2002,Tentativas de robo (excluye las agravadas por el res. de lesiones y/o muerte),25500
2002,Tentativas de robo agravado por el resultado de lesiones y/o muertes,3015
2003,Abusos sexuales con acceso carnal (violaciones),3451
2003,Amenazas,117234
2003,Contravenciones,130115
2003,Delitos contra el estado civil,196
2003,Delitos contra el honor,328
2003,Delitos contra el orden público,987
2003,Delitos contra la administración pública,13127
2003,Delitos contra la fe pública,5000
2003,Delitos contra la seguridad de la nación,56
2003,Delitos contra la seguridad pública,4934
2003,Delitos contra los poderes públicos y el orden constitucional,135
2003,Homicidios culposos por otros hechos,665
2003,Homicidios dolosos,2883
2003,Homicidios dolosos en grado de tentativa,928
2003,Hurtos,334916
2003,Lesiones culposas en Accidentes Viales,56678
2003,Lesiones culposas por otros hechos,7356
2003,Lesiones dolosas,131360
2003,Ley 23.737 (estupefacientes),15378
2003,Muertes en accidentes viales,3125
2003,Otros delitos contra la integridad sexual,6484
2003,Otros delitos contra la libertad,13267
2003,Otros delitos contra la propiedad,76862
2003,Otros delitos contra las personas,16509
2003,Otros delitos previstos en leyes especiales,22004
2003,Robos (excluye los agravados por el resultado de lesiones y/o muertes),393547
2003,Robos agravados por el resultado de lesiones y/o muertes ,16552
2003,Suicidios (consumados),2860
2003,Tentativas de hurto,11070
2003,Tentativas de robo (excluye las agravadas por el res. de lesiones y/o muerte),21547
2003,Tentativas de robo agravado por el resultado de lesiones y/o muertes,2216
2004,Abusos sexuales con acceso carnal (violaciones),3452
2004,Amenazas,130448
2004,Contravenciones,128199
2004,Delitos contra el estado civil,156
2004,Delitos contra el honor,381
2004,Delitos contra el orden público,1350
2004,Delitos contra la administración pública,13531
2004,Delitos contra la fe pública,4989
2004,Delitos contra la seguridad de la nación,61
2004,Delitos contra la seguridad pública,4833
2004,Delitos contra los poderes públicos y el orden constitucional,140
2004,Homicidios culposos por otros hechos,716
2004,Homicidios dolosos,2264
2004,Homicidios dolosos en grado de tentativa,876
2004,Hurtos,316886
2004,Lesiones culposas en Accidentes Viales,64717
2004,Lesiones culposas por otros hechos,8620
2004,Lesiones dolosas,142257
2004,Ley 23.737 (estupefacientes),18341
2004,Muertes en accidentes viales,3506
2004,Otros delitos contra la integridad sexual,6921
2004,Otros delitos contra la libertad,13238
2004,Otros delitos contra la propiedad,77755
2004,Otros delitos contra las personas,16708
2004,Otros delitos previstos en leyes especiales,22522
2004,Robos (excluye los agravados por el resultado de lesiones y/o muertes),352554
2004,Robos agravados por el resultado de lesiones y/o muertes ,11157
2004,Suicidios (consumados),2843
2004,Tentativas de hurto,11332
2004,Tentativas de robo (excluye las agravadas por el res. de lesiones y/o muerte),21468
2004,Tentativas de robo agravado por el resultado de lesiones y/o muertes,1737
2005,Abusos sexuales con acceso carnal (violaciones),3156
2005,Amenazas,131288
2005,Contravenciones,126279
2005,Delitos contra el estado civil,85
2005,Delitos contra el honor,316
2005,Delitos contra el orden público,1371
2005,Delitos contra la administración pública,13891
2005,Delitos contra la fe pública,5428
2005,Delitos contra la seguridad de la nación,37
2005,Delitos contra la seguridad pública,5381
