anio,provincia,delito,cantidad
2000,Buenos Aires,Abusos sexuales con acceso carnal (violaciones),808
2000,Buenos Aires,Amenazas,33111
2000,Buenos Aires,Contravenciones,55323
2000,Buenos Aires,Delitos contra el estado civil,70
2000,Buenos Aires,Delitos contra el honor,189
2000,Buenos Aires,Delitos contra el orden público,770
2000,Buenos Aires,Delitos contra la administración pública,2463
2000,Buenos Aires,Delitos contra la fe pública,913
2000,Buenos Aires,Delitos contra la seguridad de la nación,12
2000,Buenos Aires,Delitos contra la seguridad pública,952
2000,Buenos Aires,Delitos contra los poderes públicos y el orden constitucional,28
2000,Buenos Aires,Delitos previstos en otras leyes,4466
2000,Buenos Aires,Homicidios culposos por otros hechos,417
2000,Buenos Aires,Homicidios dolosos,1331
2000,Buenos Aires,Homicidios dolosos en grado de tentativa,223
2000,Buenos Aires,Hurtos,59948
2000,Buenos Aires,Lesiones culposas en Accidentes Viales,16216
2000,Buenos Aires,Lesiones culposas por otros hechos,2511
2000,Buenos Aires,Lesiones dolosas,28890
2000,Buenos Aires,Ley 23.737 (estupefacientes),5244
2000,Buenos Aires,Muertes en accidentes viales,1252
2000,Buenos Aires,Otros delitos contra la integridad sexual,1461
2000,Buenos Aires,Otros delitos contra la libertad,2605
2000,Buenos Aires,Otros delitos contra la propiedad,16261
2000,Buenos Aires,Otros delitos contra las personas,4535
2000,Buenos Aires,Robos (excluye los agravados por el resultado de lesiones y/o muertes),97352
2000,Buenos Aires,Robos agravados por el resultado de lesiones y/o muertes,7896
2000,Buenos Aires,Suicidios (consumados),1242
2000,Buenos Aires,Tentativas de hurto,3168
2000,Buenos Aires,Tentativas de robo (excluye las agravadas por el res. de lesiones y/o muerte),7235
2000,Buenos Aires,Tentativas de robo agravado por el resultado de lesiones y/o muertes,1584
2000,Catamarca,Abusos sexuales con acceso carnal (violaciones),66
2000,Catamarca,Amenazas,929
2000,Catamarca,Contravenciones,0
2000,Catamarca,Delitos contra el estado civil,0
2000,Catamarca,Delitos contra el honor,0
2000,Catamarca,Delitos contra el orden público,0
2000,Catamarca,Delitos contra la administración pública,81
2000,Catamarca,Delitos contra la fe pública,142
2000,Catamarca,Delitos contra la seguridad de la nación,0
2000,Catamarca,Delitos contra la seguridad pública,1
2000,Catamarca,Delitos contra los poderes públicos y el orden constitucional,0
2000,Catamarca,Delitos previstos en otras leyes,167
2000,Catamarca,Homicidios culposos por otros hechos,2
2000,Catamarca,Homicidios dolosos,6
2000,Catamarca,Homicidios dolosos en grado de tentativa,6
2000,Catamarca,Hurtos,3136
2000,Catamarca,Lesiones culposas en Accidentes Viales,521
2000,Catamarca,Lesiones culposas por otros hechos,9
2000,Catamarca,Lesiones dolosas,1608
2000,Catamarca,Ley 23.737 (estupefacientes),6
2000,Catamarca,Muertes en accidentes viales,42
2000,Catamarca,Otros delitos contra la integridad sexual,165
2000,Catamarca,Otros delitos contra la libertad,94
2000,Catamarca,Otros delitos contra la propiedad,1537
2000,Catamarca,Otros delitos contra las personas,78
2000,Catamarca,Robos (excluye los agravados por el resultado de lesiones y/o muertes),2093
2000,Catamarca,Robos agravados por el resultado de lesiones y/o muertes,30
2000,Catamarca,Suicidios (consumados),30
2000,Catamarca,Tentativas de hurto,86
2000,Catamarca,Tentativas de robo (excluye las agravadas por el res. de lesiones y/o muerte),140
2000,Catamarca,Tentativas de robo agravado por el resultado de lesiones y/o muertes,1
2000,Chaco,Abusos sexuales con acceso carnal (violaciones),100
2000,Chaco,Amenazas,2257
2000,Chaco,Contravenciones,3629
2000,Chaco,Delitos contra el estado civil,10
2000,Chaco,Delitos contra el honor,0
2000,Chaco,Delitos contra el orden público,6
2000,Chaco,Delitos contra la administración pública,284
2000,Chaco,Delitos contra la fe pública,236
2000,Chaco,Delitos contra la seguridad de la nación,0
2000,Chaco,Delitos contra la seguridad pública,216
2000,Chaco,Delitos contra los poderes públicos y el orden constitucional,1
2000,Chaco,Delitos previstos en otras leyes,604
2000,Chaco,Homicidios culposos por otros hechos,10
2000,Chaco,Homicidios dolosos,73
