indice_tiempo,delito_01_hechos,delito_02_hechos,delito_03_hechos,delito_04_hechos,delito_05_hechos,delito_06_hechos,delito_07_hechos,delito_08_hechos,delito_09_hechos,delito_10_hechos,delito_11_hechos,delito_12_hechos,delito_13_hechos,delito_14_hechos,delito_14_1_hechos,delito_14_2_hechos,delito_14_3_hechos,delito_15_hechos,delito_16_hechos,delito_17_hechos,delito_18_hechos,delito_19_hechos,delito_20_hechos,delito_21_hechos,delito_22_hechos,delito_22_1_hechos,delito_22_2_hechos,delito_22_3_hechos,delito_22_4_hechos,delito_22_5_hechos,delito_22_6_hechos,delito_22_7_hechos,delito_23_hechos,delito_24_hechos,delito_25_hechos,delito_26_hechos,delito_27_hechos,delito_28_hechos,delito_28_01_hechos,delito_28_02_hechos,delito_28_03_hechos,delito_28_04_hechos,delito_28_05_hechos,delito_28_06_hechos,delito_28_07_hechos,delito_28_08_hechos,delito_28_09_hechos,delito_28_10_hechos,delito_29_hechos,delito_29_1_hechos,delito_29_2_hechos,delito_29_3_hechos,delito_29_4_hechos,delito_29_5_hechos,delito_29_6_hechos,delito_29_7_hechos,delito_29_8_hechos,delito_30_hechos,delito_31_hechos,delito_32_hechos,delito_01_victimas,delito_02_victimas,delito_03_victimas,delito_04_victimas,delito_05_victimas,delito_06_victimas,delito_07_victimas,delito_08_victimas,delito_09_victimas,delito_10_victimas,delito_11_victimas,delito_14_victimas,delito_14_1_victimas,delito_14_2_victimas,delito_14_3_victimas,delito_31_victimas
2000,2653,884,3686,1058,107864,54429,11024,21232,372,3023,5911,178,92826,15628,,,,320649,21223,14819,2541,293888,11432,89175,5147,,,,,,,,1558,34,85,10110,5868,15994,,,,,,,,,,,16195,,,,,,,,,130384,3129,,2805,942,4297,1119,112475,61882,11410,22033,383,3107,6173,15628,,,,3129
2001,3053,888,3797,625,117745,58530,8907,17979,379,3289,5803,99,108340,13729,,,,345725,19898,16029,2082,304122,10594,84334,5736,,,,,,,,4734,34,110,11662,5387,15364,,,,,,,,,,,17956,,,,,,,,,202813,3167,,3143,985,4339,678,124273,68583,9287,18965,408,3377,6002,13729,,,,3167
2002,3459,862,3178,589,125267,53527,7181,16947,295,3037,5773,219,114247,13921,,,,423478,25500,17906,3015,372905,13813,80247,5199,,,,,,,,1241,59,159,12330,5495,15508,,,,,,,,,,,23139,,,,,,,,,118238,2966,,3571,922,3550,621,130786,61253,7524,17741,308,3098,5997,13921,,,,2966
2003,2883,928,3125,665,131360,56678,7356,16509,328,3451,6484,196,117234,13267,,,,393547,21547,16552,2216,334916,11070,76862,4934,,,,,,,,987,56,135,13127,5000,15378,,,,,,,,,,,22004,,,,,,,,,130115,2860,,2967,974,3531,688,137578,64881,7664,17239,332,3521,6698,13267,,,,2860
2004,2264,876,3506,716,142257,64717,8620,16708,381,3452,6921,156,130448,13238,,,,352554,21468,11157,1737,316886,11332,77755,4833,,,,,,,,1350,61,140,13531,4989,18341,,,,,,,,,,,22522,,,,,,,,,128199,2843,,2341,931,3982,785,148802,74394,8931,17619,392,3529,7152,13238,,,,2843
2005,2120,916,3443,895,142135,73066,9532,15832,316,3156,6852,85,131288,13210,,,,322267,20767,10823,1475,292455,11214,80249,5381,,,,,,,,1371,37,120,13891,5428,22378,,,,,,,,,,,25332,,,,,,,,,126279,2709,,2203,978,3983,941,149315,84614,9937,16625,329,3223,7087,13213,,,,2712
2006,2057,836,3695,743,143482,83888,11483,17544,358,3272,7353,168,136351,15810,,,,318613,21061,12605,1761,280619,11422,83264,5614,,,,,,,,1457,25,184,14740,5039,24552,,,,,,,,,,,26042,,,,,,,,,145785,2746,,2111,894,4326,797,150367,96221,11814,18381,373,3386,7683,15810,,,,2746
2007,2071,780,3786,681,139142,97056,10355,22601,640,3281,7283,90,133472,25395,,,,331723,21846,12797,1315,248510,16287,79509,5421,,,,,,,,1815,112,767,13258,4249,23638,,,,,,,,,,,23066,,,,,,,,,133316,2768,,2139,827,4364,727,146308,111177,10920,23753,650,3352,7486,25395,,,,2768
2008,2305,993,3997,617,146338,105615,9801,29335,247,3368,6994,124,142714,14914,,,,361716,25116,10048,1485,272825,11380,86661,5992,,,,,,,,2126,36,144,16101,3567,30003,,,,,,,,,,,30986,,,,,,,,,115342,3127,,2377,1036,4554,641,154360,121598,10335,30411,257,3494,7297,14916,,,,3130
2009,2616,1232,3483,937,151408,99233,17621,29097,340,4386,7615,168,141543,9576,,,,367975,15340,8200,567,271860,6519,91413,21978,,,,,,,,1404,41,164,23537,4198,38996,,,,,,,,,,,29270,,,,,,,,,99126,3069,,2645,1258,3824,990,156621,115188,18167,29715,352,4429,7893,9593,,,,3087
2010,2345,1201,3571,706,148376,95876,19499,30098,236,4278,8039,119,140877,10415,,,,372723,15946,6918,509,266043,6684,91575,22044,,,,,,,,1249,33,157,23866,4446,39730,,,,,,,,,,,29502,,,,,,,,,97594,3068,,2383,1247,3980,754,154692,112648,20244,30631,244,4330,8468,10435,,,,3093
