indice_tiempo,t_delito_01_hechos,t_delito_02_hechos,t_delito_03_hechos,t_delito_04_hechos,t_delito_05_hechos,t_delito_06_hechos,t_delito_07_hechos,t_delito_08_hechos,t_delito_09_hechos,t_delito_10_hechos,t_delito_11_hechos,t_delito_12_hechos,t_delito_13_hechos,t_delito_14_hechos,t_delito_14_1_hechos,t_delito_14_2_hechos,t_delito_14_3_hechos,t_delito_15_hechos,t_delito_16_hechos,t_delito_17_hechos,t_delito_18_hechos,t_delito_19_hechos,t_delito_20_hechos,t_delito_21_hechos,t_delito_22_hechos,t_delito_22_1_hechos,t_delito_22_2_hechos,t_delito_22_3_hechos,t_delito_22_4_hechos,t_delito_22_5_hechos,t_delito_22_6_hechos,t_delito_22_7_hechos,t_delito_23_hechos,t_delito_24_hechos,t_delito_25_hechos,t_delito_26_hechos,t_delito_27_hechos,t_delito_28_hechos,t_delito_28_01_hechos,t_delito_28_02_hechos,t_delito_28_03_hechos,t_delito_28_04_hechos,t_delito_28_05_hechos,t_delito_28_06_hechos,t_delito_28_07_hechos,t_delito_28_08_hechos,t_delito_28_09_hechos,t_delito_28_10_hechos,t_delito_29_hechos,t_delito_29_1_hechos,t_delito_29_2_hechos,t_delito_29_3_hechos,t_delito_29_4_hechos,t_delito_29_5_hechos,t_delito_29_6_hechos,t_delito_29_7_hechos,t_delito_29_8_hechos,t_delito_30_hechos,t_delito_31_hechos,t_delito_32_hechos,t_delito_01_victimas,t_delito_02_victimas,t_delito_03_victimas,t_delito_04_victimas,t_delito_05_victimas,t_delito_06_victimas,t_delito_07_victimas,t_delito_08_victimas,t_delito_09_victimas,t_delito_10_victimas,t_delito_11_victimas,t_delito_14_victimas,t_delito_14_1_victimas,t_delito_14_2_victimas,t_delito_14_3_victimas,t_delito_31_victimas
2000,7.2270207,2.4080989,10.041009,2.882091,293.83163,148.2697,30.030409,57.837955,1.0133629,8.2349348,16.102118,.48488867,252.86671,42.572136,,,,873.47791,57.813438,40.368343,6.9219222,800.57843,31.141838,242.92105,14.02091,,,,,,,,4.2441378,.092619188,.23154797,27.540586,15.984982,43.569153,,,,,,,,,,,44.116695,,,,,,,,,355.17822,8.5236893,,7.6410828,2.5660963,11.705431,3.0482609,306.39243,168.57237,31.081909,60.019955,1.0433279,8.4637594,16.81583,42.572136,,,,9.3990049
2001,8.2166653,2.3899109,10.219023,1.6820883,316.89197,157.5242,23.971777,48.387623,1.0200183,8.8518209,15.617853,.26644278,291.5799,36.949425,,,,930.46393,53.552307,43.139507,5.6033726,818.49609,28.51207,226.97157,15.437533,,,,,,,,12.740809,.091505602,.29604754,31.386421,14.498256,41.349766,,,,,,,,,,,48.325722,,,,,,,,,545.83899,8.5234776,,8.4588852,2.6509712,11.67773,1.8247293,334.46106,184.58026,24.994486,51.041286,1.0980673,9.0886593,16.153431,36.949425,,,,9.3887501
2002,9.2133732,2.2960184,8.4649029,1.5688571,333.66049,142.57422,19.127272,45.139935,.78576034,8.0893364,15.37693,.58332717,304.30768,37.079899,,,,1127.9736,67.921661,47.694321,8.0307369,993.2677,36.792229,213.74547,13.848027,,,,,,,,3.3055208,.15715207,.42351151,32.842121,14.636452,41.307022,,,,,,,,,,,61.632912,,,,,,,,,314.93808,7.9002213,,9.5116959,2.4558342,9.45576,1.6540922,348.36087,163.15315,20.040884,47.254829,.82038707,8.2518158,15.973576,37.079899,,,,8.6973391
2003,7.5999737,2.446332,8.2379179,1.7530289,346.28253,149.41078,19.391399,43.519932,.86465186,9.0972977,17.092691,.51668221,309.04449,34.973587,,,,1037.4425,56.800774,43.633286,5.8416724,882.88336,29.181999,202.61852,13.006683,,,,,,,,2.6018639,.14762349,.35587806,34.604527,13.180669,40.538464,,,,,,,,,,,58.005486,,,,,,,,,343.00055,7.5393424,,7.8214087,2.5675943,9.3081884,1.81366,362.67401,171.03499,20.203329,45.444309,.8751964,9.281827,17.656824,34.973587,,,,8.2953911
2004,5.9066768,2.2854455,9.1470003,1.8680125,371.14227,168.84381,22.489201,43.590439,.99401224,9.0061159,18.056585,.40699714,340.3331,34.537361,,,,919.79791,56.009068,29.108124,4.5317569,826.74164,29.56469,202.85938,12.609085,,,,,,,,3.5220907,.15914632,.36525384,35.301785,13.016082,47.850864,,,,,,,,,,,58.758907,,,,,,,,,334.46555,7.4172621,,6.1075664,2.4289382,10.388863,2.0480306,388.2179,194.09068,23.300587,45.967197,1.0227108,9.2070055,18.659254,34.537361,,,,8.1564884
2005,5.4739642,2.3651657,8.890028,2.3109424,367.00092,188.66071,24.612183,40.879154,.81593055,8.1489773,17.692266,.21947499,338.99332,34.108994,,,,832.1123,53.621613,27.945621,3.8085365,755.13599,28.955206,207.20763,13.894057,,,,,,,,3.5400023,.095536172,.30984703,35.867378,14.015414,57.781307,,,,,,,,,,,65.408707,,,,,,,,,326.05978,6.9947968,,5.6882753,2.5252533,10.28434,2.4297173,385.5401,218.47832,25.657917,42.926723,.84949732,8.3219748,18.299049,34.116741,,,,7.696116
2006,5.256537,2.1363466,9.4423456,1.8986908,366.65942,214.37062,29.344101,44.832615,.91484702,8.3613949,18.79014,.42931366,348.43658,40.401482,,,,814.19592,53.820091,32.211304,4.5001273,717.10461,29.188219,212.77603,14.346231,,,,,,,,3.723274,.063885964,.47020069,37.667164,12.876855,62.741127,,,,,,,,,,,66.548729,,,,,,,,,372.54462,7.0172343,,5.3945308,2.2845621,11.054827,2.0366845,384.25363,245.88686,30.189951,46.971516,.95317858,8.6527147,19.633434,40.401482,,,,7.7079339
2007,5.237751,1.9726924,9.5751457,1.7223122,351.90302,245.46362,26.188755,57.160027,1.6186194,8.2979536,18.419382,.22761835,337.56308,64.226311,,,,838.95825,55.250561,32.364799,3.325757,628.50482,41.191334,201.08563,13.710212,,,,,,,,4.5903034,.28325838,1.9398142,33.530712,10.746116,59.782696,,,,,,,,,,,58.336056,,,,,,,,,337.16855,7.0005288,,5.4097295,2.0915596,11.036961,1.8386505,370.02652,281.17694,27.617693,60.07354,1.6439103,8.477519,18.932789,64.226311,,,,7.6852694
2008,5.7694583,2.4854975,10.004566,1.5443625,366.28674,264.35632,24.532085,73.426056,.6182456,8.4301672,17.506113,.31037432,357.21582,37.330021,,,,905.3819,62.865818,25.150331,3.7169828,682.88605,28.484352,216.91411,14.998088,,,,,,,,5.3214178,.09010867,.36043468,40.301105,8.9282675,75.098068,,,,,,,,,,,77.55854,,,,,,,,,288.70319,7.8269396,,5.9496756,2.5931275,11.398747,1.604435,386.36597,304.36206,25.868698,76.119301,.6432758,8.7455473,18.264528,37.335026,,,,8.5959301
2009,6.4803905,3.0519271,8.6281347,2.3211491,375.06995,245.82132,43.650978,72.079483,.84225255,10.865058,18.863981,.41617188,350.63223,23.721796,,,,911.55261,38.000454,20.31315,1.40458,673.45526,16.148954,226.44951,54.444199,,,,,,,,3.4780078,.10156576,.40626302,58.306175,10.399343,96.601418,,,,,,,,,,,72.508041,,,,,,,,,245.55626,7.6025681,,6.5522299,3.1163344,9.4728642,2.4524415,387.98364,285.34528,45.003536,73.610397,.87197912,10.971579,19.552647,23.763908,,,,8.3857269
2010,5.749176,2.9444609,8.7549286,1.730882,363.76962,235.05672,47.805195,73.790489,.5785951,10.488262,19.709009,.29174924,345.38452,25.534187,,,,913.79541,39.094398,16.960682,1.2479022,652.25079,16.386992,224.51207,54.044708,,,,,,,,3.0621412,.080905251,.38491285,58.511658,10.900144,97.405022,,,,,,,,,,,72.329292,,,,,,,,,239.26869,7.5217366,,5.8423395,3.0572379,9.7576637,1.8485624,379.25439,276.17621,49.631695,75.097237,.59820855,10.615749,20.760778,25.583221,,,,8.3107376
2011,5.9886351,3.4099593,9.1925907,2.2733061,400.24731,230.50792,58.613976,79.347595,.75615299,10.237148,20.517921,.21327393,381.13989,26.44112,,,,951.59192,38.24147,15.692598,1.3475034,639.09711,15.336334,225.91768,58.834522,,,,,,,,3.0803542,.10906053,.36838225,59.358013,9.9535913,94.945671,,,,,,,,,,,81.73481,,,,,,,,,221.63039,7.5203295,,6.0976954,3.6329274,10.089311,2.4865801,415.78964,273.27417,61.313831,80.556953,.77311796,10.418916,21.819376,26.484743,,,,8.3053198
